model_pair,benchmark,condition,cond_type,temperature,run,accuracy,mean_accept_rate,n_items,baseline_accuracy,accuracy_delta_vs_A,score_flip_rate,n_flips,token_change_rate,token_change_no_score_flip_rate,alpha_threshold
Llama-3.2-1B→Llama-3.1-8B,gsm8k,A,spec,0.7,0,0.145,1.0,200,0.145,0.0,,,,,
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,0.7,0,0.145,0.0721428651623724,200,0.145,0.0,0.0,0.0,0.0,0.0,1.0
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_060,spec,0.7,0,0.06,0.2207351704479873,200,0.145,-0.08499999999999999,0.085,17.0,1.0,0.915,0.6
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_070,spec,0.7,0,0.06,0.2178332098106531,200,0.145,-0.08499999999999999,0.085,17.0,1.0,0.915,0.7
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_080,spec,0.7,0,0.06,0.2159300543723414,200,0.145,-0.08499999999999999,0.085,17.0,1.0,0.915,0.8
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_090,spec,0.7,0,0.175,0.2121482638304128,200,0.145,0.03,0.2,40.0,1.0,0.8,0.9
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_030,temp,0.3,0,0.06,1.0,200,0.145,-0.08499999999999999,0.085,17.0,1.0,0.915,
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_050,temp,0.5,0,0.115,1.0,200,0.145,-0.029999999999999985,0.14,28.0,1.0,0.86,
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_070,temp,0.7,0,0.115,1.0,200,0.145,-0.029999999999999985,0.14,28.0,1.0,0.86,
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_100,temp,1.0,0,0.115,1.0,200,0.145,-0.029999999999999985,0.14,28.0,1.0,0.86,
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_150,temp,1.5,0,0.02,1.0,200,0.145,-0.12499999999999999,0.125,25.0,1.0,0.875,
